variant.type	mpralm.sigvar.count	mpralm.nonsigvar.count	mpralm.sigvar.prop	mpralm.sigvar.propLCI	mpralm.sigvar.propUCI	mpralm.sigclass
modern	57	268	0.1753846153846154	0.13789889165906158	0.22045452047851502	weak
archaic	39	277	0.12341772151898735	0.09161129213993478	0.16427004082564287	weak
neanderthal	114	812	0.12311015118790497	0.10349137502007548	0.1458430213131829	weak
denisovan	160	1167	0.12057272042200452	0.10413886727381319	0.1391969986734812	weak
introgressed	419	2698	0.1344241257619506	0.12289815831253453	0.1468500714289435	weak
adaptive	14	41	0.2545454545454545	0.15812114773072913	0.38301871281765865	weak
introgressed_DER	184	1202	0.13275613275613277	0.11590361570348945	0.1516387406284395	weak
introgressed_ANC	27	104	0.20610687022900764	0.1456927495161705	0.28326626150735307	weak
adaptive_DER	6	21	0.2222222222222222	0.1060723945236004	0.40756928866632575	weak
adaptive_ANC	0	0	NA	NA	NA	weak
modern	0	325	0	8.572293951534178e-19	0.011681795946504238	moderate
archaic	0	316	0	0	0.012010509315640908	moderate
neanderthal	0	926	0	0	0.0041313051641794895	moderate
denisovan	0	1327	0	0	0.0028864886912211	moderate
introgressed	0	3117	0	0	0.0012309048285156202	moderate
adaptive	0	55	0	0	0.06528490111708636	moderate
introgressed_DER	0	1386	0	0	0.002763954691604661	moderate
introgressed_ANC	0	131	0	0	0.02848870706599457	moderate
adaptive_DER	0	27	0	0	0.12455502974186705	moderate
adaptive_ANC	0	0	NA	NA	NA	moderate
modern	14	311	0.043076923076923075	0.025830768378534215	0.07099844207104042	strong
archaic	12	304	0.0379746835443038	0.02185431624792671	0.06519336957538706	strong
neanderthal	56	870	0.06047516198704104	0.04686277425190014	0.0777191721883181	strong
denisovan	72	1255	0.05425772418990203	0.04330620942387968	0.06778249903257438	strong
introgressed	172	2945	0.05518126403593199	0.04769918571013913	0.06375840142154961	strong
adaptive	2	53	0.03636363636363636	0.010029541289333565	0.12323463974651012	strong
introgressed_DER	71	1315	0.051226551226551224	0.04081046720146821	0.06412341421004417	strong
introgressed_ANC	6	125	0.04580152671755725	0.021157884763712446	0.096324223181733	strong
adaptive_DER	1	26	0.037037037037037035	0.0018997516439833548	0.18283465933575843	strong
adaptive_ANC	0	0	NA	NA	NA	strong
