tissue	hexcode
Adipose_Subcutaneous	FFA54F
Adipose_Visceral_Omentum	EE9A00
Adrenal_Gland	8FBC8F
Artery_Aorta	8B1C62
Artery_Coronary	EE6A50
Artery_Tibial	FF0000
Brain_Amygdala	EEEE00
Brain_Anterior_cingulate_cortex_BA24	EEEE00
Brain_Caudate_basal_ganglia	EEEE00
Brain_Cerebellar_Hemisphere	EEEE00
Brain_Cerebellum	EEEE00
Brain_Cortex	EEEE00
Brain_Frontal_Cortex_BA9	EEEE00
Brain_Hippocampus	EEEE00
Brain_Hypothalamus	EEEE00
Brain_Nucleus_accumbens_basal_ganglia	EEEE00
Brain_Putamen_basal_ganglia	EEEE00
Brain_Spinal_cord_cervical_c-1	EEEE00
Brain_Substantia_nigra	EEEE00
Breast_Mammary_Tissue	00CDCD
Cells_Cultured_fibroblasts	9AC0CD
Cells_EBV-transformed_lymphocytes	EE82EE
Colon_Sigmoid	CDB79E
Colon_Transverse	EEC591
Esophagus_Gastroesophageal_Junction	8B7355
Esophagus_Mucosa	8B7355
Esophagus_Muscularis	CDAA7D
Heart_Atrial_Appendage	B452CD
Heart_Left_Ventricle	7A378B
Kidney_Cortex	CDB79E
Liver	CDB79E
Lung	9ACD32
Minor_Salivary_Gland	CDB79E
Muscle_Skeletal	7A67EE
Nerve_Tibial	FFD700
Ovary	FFB6C1
Pancreas	CD9B1D
Pituitary	B4EEB4
Prostate	D9D9D9
Skin_Not_Sun_Exposed_Suprapubic	3A5FCD
Skin_Sun_Exposed_Lower_leg	1E90FF
Small_Intestine_Terminal_Ileum	CDB79E
Spleen	CDB79E
Stomach	FFD39B
Testis	A6A6A6
Thyroid	008B45
Uterus	EED5D2
Vagina	EED5D2
Whole_Blood	FF00FF
