Sub_library	Order_assign	Primer_pair_new
Sub_2.01	Order_02	Primer_pair_new_01
Sub_2.02	Order_02	Primer_pair_new_02
Sub_2.03a	Order_02	Primer_pair_new_03
Sub_2.03b	Order_02	Primer_pair_new_04
Sub_2.04	Order_02	Primer_pair_new_05
Sub_2.05	Order_02	Primer_pair_new_06
Sub_2.06a	Order_02	Primer_pair_new_07
Sub_2.06b	Order_02	Primer_pair_new_08
Sub_2.07a	Order_02	Primer_pair_new_09
Sub_2.07b	Order_02	Primer_pair_new_10
Sub_2.08a	Order_02	Primer_pair_new_11
Sub_2.08b	Order_02	Primer_pair_new_12
Sub_2.09a	Order_02	Primer_pair_new_13
Sub_2.09b	Order_02	Primer_pair_new_14
Sub_2.19a	Order_02	Primer_pair_new_15
Sub_2.10	Order_03	Primer_pair_new_01
Sub_2.11	Order_03	Primer_pair_new_02
Sub_2.12	Order_03	Primer_pair_new_03
Sub_2.13a	Order_03	Primer_pair_new_04
Sub_2.13b	Order_03	Primer_pair_new_05
Sub_2.14	Order_03	Primer_pair_new_06
Sub_2.15	Order_03	Primer_pair_new_07
Sub_2.19b	Order_03	Primer_pair_new_08
Sub_2.23	Order_03	Primer_pair_new_09
Sub_2.24a	Order_03	Primer_pair_new_10
Sub_2.24b	Order_03	Primer_pair_new_11
Sub_2.25a	Order_03	Primer_pair_new_12
Sub_2.25b	Order_03	Primer_pair_new_13
Sub_2.26a	Order_03	Primer_pair_new_14
Sub_2.26b	Order_03	Primer_pair_new_15
Sub_2.16a	Order_04	Primer_pair_new_01
Sub_2.16b	Order_04	Primer_pair_new_02
Sub_2.17a	Order_04	Primer_pair_new_03
Sub_2.17b	Order_04	Primer_pair_new_04
Sub_2.18a	Order_04	Primer_pair_new_05
Sub_2.18b	Order_04	Primer_pair_new_06
Sub_2.27	Order_04	Primer_pair_new_07
Sub_2.28a	Order_04	Primer_pair_new_08
Sub_2.28b	Order_04	Primer_pair_new_09
Sub_2.29a	Order_04	Primer_pair_new_10
Sub_2.29b	Order_04	Primer_pair_new_11
Sub_2.30a	Order_04	Primer_pair_new_12
Sub_2.30b	Order_04	Primer_pair_new_13
Sub_2.20a	Order_05	Primer_pair_new_01
Sub_2.20b	Order_05	Primer_pair_new_02
Sub_2.20c	Order_05	Primer_pair_new_03
Sub_2.20d	Order_05	Primer_pair_new_04
Sub_2.21	Order_05	Primer_pair_new_05
Sub_2.22	Order_05	Primer_pair_new_06
Sub_misc_2.23	Order_05	Primer_pair_new_07
Sub_misc_2.24	Order_05	Primer_pair_new_08
Sub_misc_2.25	Order_05	Primer_pair_new_09
Sub_misc_2.26	Order_05	Primer_pair_new_10
Sub_misc_2.27	Order_05	Primer_pair_new_11
Sub_misc_2.28	Order_05	Primer_pair_new_12
Sub_misc_2.29	Order_05	Primer_pair_new_13
Sub_misc_2.30	Order_04	Primer_pair_new_14
