Sample	FastQC_percent_duplicates-1	FastQC_percent_gc-1	FastQC_avg_sequence_length-1	FastQC_total_sequences-1	FastQC_percent_fails-1
N2A-input-a_R1_001	96.2803590806	50.0	150.0	63811261.0	36.3636363636
N2A-input-a_R2_001	88.5649023511	50.0	150.0	63811261.0	36.3636363636
N2A-input-b_R1_001	96.0306247133	50.0	150.0	59983848.0	36.3636363636
N2A-input-b_R2_001	87.220204765	50.0	150.0	59983848.0	36.3636363636
N2A-input-c_R1_001	96.2124066382	50.0	150.0	60860281.0	36.3636363636
N2A-input-c_R2_001	88.0537970695	50.0	150.0	60860281.0	36.3636363636
N2A-output-a_R1_001	99.1124546979	58.0	150.0	147561025.0	36.3636363636
N2A-output-a_R2_001	95.5052482961	58.0	150.0	147561025.0	36.3636363636
N2A-output-b_R1_001	99.0624533077	58.0	150.0	146988484.0	36.3636363636
N2A-output-b_R2_001	95.3334863481	58.0	150.0	146988484.0	36.3636363636
N2A-output-c_R1_001	99.0713207834	58.0	150.0	125676262.0	36.3636363636
N2A-output-c_R2_001	94.9217208864	58.0	150.0	125676262.0	36.3636363636
N2B-input-a_R1_001	97.6257986067	46.0	150.0	75048942.0	36.3636363636
N2B-input-a_R2_001	89.7483260765	47.0	150.0	75048942.0	36.3636363636
N2B-input-b_R1_001	97.4624849907	46.0	150.0	59943504.0	36.3636363636
N2B-input-b_R2_001	88.6043880619	46.0	150.0	59943504.0	36.3636363636
N2B-input-c_R1_001	97.3418293315	46.0	150.0	60797797.0	36.3636363636
N2B-input-c_R2_001	88.8122236161	46.0	150.0	60797797.0	36.3636363636
N2B-output-a_R1_001	99.215706979	59.0	150.0	150338371.0	45.4545454545
N2B-output-a_R2_001	95.7651813136	59.0	150.0	150338371.0	36.3636363636
N2B-output-b_R1_001	99.1947592215	59.0	150.0	130938402.0	45.4545454545
N2B-output-b_R2_001	95.3792591489	59.0	150.0	130938402.0	36.3636363636
N2B-output-c_R1_001	99.0984535143	59.0	150.0	135029841.0	45.4545454545
N2B-output-c_R2_001	95.2298819759	59.0	150.0	135029841.0	36.3636363636
