Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
N2A-input-a_001	63811261.0	300.0	33776620.0	52.93	299.97	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.17	1.0	0.01	1.08	0.0	0.0	304870.0	0.48	20.53	18.11	7.95	13100498	11556260	5073013
N2A-input-b_001	59983848.0	300.0	31691245.0	52.83	299.97	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.17	1.0	0.01	1.08	0.0	0.0	284669.0	0.47	20.85	18.59	7.25	12507291	11151585	4349058
N2A-input-c_001	60860281.0	300.0	32329851.0	53.12	299.97	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.17	1.0	0.01	1.08	0.0	0.0	291535.0	0.48	20.62	18.67	7.11	12549268	11362504	4327124
N2A-output-a_001	147561025.0	300.0	65575353.0	44.44	299.96	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.1	1.0	0.01	1.99	0.0	0.0	480659.0	0.33	13.91	20.18	21.14	20527516	29780394	31197103
N2A-output-b_001	146988484.0	300.0	64947599.0	44.19	299.96	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.1	1.0	0.01	1.98	0.0	0.0	478090.0	0.33	14.71	21.06	19.72	21621710	30955352	28985733
N2A-output-c_001	125676262.0	300.0	57510797.0	45.76	299.96	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.1	1.0	0.01	2.08	0.0	0.0	421077.0	0.34	14.6	20.47	18.83	18350057	25727785	23666546
N2B-input-a_001	75048942.0	300.0	35557954.0	47.38	299.97	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.17	1.0	0.01	1.06	0.0	0.0	299428.0	0.4	20.71	24.86	6.65	15543033	18657644	4990882
N2B-input-b_001	59943504.0	300.0	28923450.0	48.25	299.97	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.17	1.0	0.01	1.06	0.0	0.0	241812.0	0.4	21.2	24.7	5.45	12706889	14804724	3266629
N2B-input-c_001	60797797.0	300.0	28987727.0	47.68	299.97	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.17	1.0	0.01	1.06	0.0	0.0	244897.0	0.4	21.1	25.43	5.39	12827911	15460369	3276893
N2B-output-a_001	150338371.0	300.0	65783291.0	43.76	299.97	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.1	1.0	0.01	1.57	0.0	0.0	459433.0	0.31	16.58	19.77	19.58	24929480	29725924	29440243
N2B-output-b_001	130938402.0	300.0	59314092.0	45.3	299.97	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.1	1.0	0.01	1.58	0.0	0.0	416628.0	0.32	17.27	20.57	16.54	22614135	26935307	21658239
N2B-output-c_001	135029841.0	300.0	57186764.0	42.35	299.97	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.1	1.0	0.01	1.57	0.0	0.0	402231.0	0.3	16.18	20.05	21.12	21848176	27073914	28518756
